match_uid,ha_status,ha_method,csv_home_name,csv_home_id,csv_away_name,csv_away_id,page_home_name,page_home_id,page_away_name,page_away_id,page_set1_tb_home,page_set1_tb_away,page_set2_tb_home,page_set2_tb_away,page_set3_tb_home,page_set3_tb_away,page_set1_home,page_set1_away,page_set2_home,page_set2_away,page_set3_home,page_set3_away,page_time_overall,page_time_set1,page_time_set2,page_time_set3,page_date_time,page_court_type,error
002nrDF8,correct,id_match,Baranovska A.,nLxWDRxg,Todoni C. N.,d4cVJZzB,Baranovska A.,nLxWDRxg,Todoni C. N.,d4cVJZzB,,,,,,,6,1,6,3,,,1:28,0:37,0:51,,"02:10 AM, May 07, 2025",CLAY,
00bHopRb,correct,id_match,Costoulas S.,WK42lFJU,Burrage J.,U5Ot7i32,Costoulas S.,WK42lFJU,Burrage J.,U5Ot7i32,,,,,,,4,6,3,6,,,1:26,0:46,0:40,,"03:35 AM, December 07, 2024",HARD,
02aSCkcC,correct,id_match,Rajecki A.,UkERyGft,Kuzmova K.,zPhg3qEf,Rajecki A.,UkERyGft,Kuzmova K.,zPhg3qEf,,,,,,,6,2,0,0,,,1:03,0:45,0:18,,"04:10 AM, October 04, 2024",HARD,
02ulBrNp,correct,id_match,Mansouri Y.,E79w1KgA,Zanolini C.,O4m9mvB8,Mansouri Y.,E79w1KgA,Zanolini C.,O4m9mvB8,,,,,,,6,3,6,2,,,1:24,0:40,0:44,,"04:25 AM, August 25, 2024",HARD,
04f7BxB7,correct,id_match,Meyer Auf Der Heide L.,KviXua09,Semenistaja M.,phSWtDJo,Meyer Auf Der Heide L.,KviXua09,Semenistaja M.,phSWtDJo,,,,,,,6,1,6,1,,,1:12,0:35,0:37,,"06:10 AM, November 08, 2024",HARD,
06Lg9g2F,correct,id_match,Cabaj Awad J.,EsKmIeoB,Amariei I. D.,hnSjsqNn,Cabaj Awad J.,EsKmIeoB,Amariei I. D.,hnSjsqNn,2,7,,,,,6,7,3,6,,,,,,,"05:30 AM, April 07, 2023",CLAY,
082GKDwJ,correct,id_match,Smejkalova A.,fXSY8gS6,Paskauskas G.,SI6nTZVD,Smejkalova A.,fXSY8gS6,Paskauskas G.,SI6nTZVD,,,,,7,9,6,3,5,7,6,7,3:19,0:45,1:22,1:12,"11:00 AM, November 14, 2024",HARD,
0AiV0Ns7,correct,id_match,Di Lorenzo F.,8M2ihFnI,Bara I.,zk2irZZG,Di Lorenzo F.,8M2ihFnI,Bara I.,zk2irZZG,,,,,,,3,6,3,6,,,1:47,0:43,1:04,,"12:15 PM, April 13, 2022",CLAY,
0EkVAgTq,correct,id_match,Kashyap T.,fwGynzUu,Visscher S. J.,6ornLmvN,Kashyap T.,fwGynzUu,Visscher S. J.,6ornLmvN,,,,,,,1,6,0,6,,,0:22,0:22,,,"03:45 AM, December 07, 2024",HARD,
0G8ZPpPc,correct,id_match,Sauvant C.,WrzLwfbC,Bosaia E.,0MyCrInh,Sauvant C.,WrzLwfbC,Bosaia E.,0MyCrInh,,,,,,,6,3,6,3,,,2:01,1:13,0:48,,"02:00 AM, November 23, 2024",CLAY,
0Gj8rgUq,correct,id_match,Da Cruz Mendonca S.,M7StrM4d,Dourado Zimermman J.,UFiZv5nT,Da Cruz Mendonca S.,M7StrM4d,Dourado Zimermman J.,UFiZv5nT,,,,,,,1,6,6,1,6,2,1:27,0:27,0:26,0:34,"01:45 PM, October 26, 2024",HARD,
0IP0te0J,correct,id_match,Natal L.,E72jWNoD,Oliver Sanchez M.,x8DXxyFD,Natal L.,E72jWNoD,Oliver Sanchez M.,x8DXxyFD,7,4,,,,,7,6,6,3,,,1:52,1:11,0:41,,"06:40 AM, July 02, 2025",CLAY,
0K2W8QoD,correct,id_match,Juhaszova V.,hptLabxr,Garcia-Perez G.,4pmFdb9U,Juhaszova V.,hptLabxr,Garcia-Perez G.,4pmFdb9U,,,,,,,0,6,2,6,,,1:00,0:24,0:36,,"08:10 AM, July 10, 2019",CLAY,
0MeDYoSb,correct,id_match,Podrez V.,j7lRpbCL,Kubka M.,0rUdL1O9,Podrez V.,j7lRpbCL,Kubka M.,0rUdL1O9,,,,,,,3,6,2,6,,,1:15,0:37,0:38,,"06:30 AM, March 01, 2025",HARD,
0OKHr3iJ,correct,id_match,Quevedo K.,Ovyv04To,Gadecki O.,4Qyc8N2g,Quevedo K.,Ovyv04To,Gadecki O.,4Qyc8N2g,,,,,,,6,3,6,3,,,1:36,0:47,0:49,,"05:00 AM, April 12, 2025",CLAY,
0Q1uOWvo,correct,id_match,Maquet M.,AJQ9Wsy5,Moll A. L.,EZlwcsTr,Maquet M.,AJQ9Wsy5,Moll A. L.,EZlwcsTr,,,,,,,2,6,1,6,,,1:14,0:31,0:43,,"11:45 AM, August 22, 2024",CLAY,
0SQOcqgc,correct,id_match,Yang Y.,ziXD7L4M,Zhang J.,4jAN10Xk,Yang Y.,ziXD7L4M,Zhang J.,4jAN10Xk,,,,,,,6,4,6,1,,,1:32,0:53,0:39,,"12:05 AM, February 27, 2025",HARD,
0WAd5pAL,correct,id_match,Zarazua R.,6TlRnRze,Shymanovich I.,l21IOgts,Zarazua R.,6TlRnRze,Shymanovich I.,l21IOgts,,,7,1,,,3,6,7,6,6,3,2:38,0:33,1:16,0:49,"12:10 PM, October 24, 2025",HARD,
0Y3lyq2e,correct,id_match,Kanemaki C.,CtXqFNd0,Yoshioka K.,4vTImBMR,Kanemaki C.,CtXqFNd0,Yoshioka K.,4vTImBMR,3,7,,,,,6,7,3,6,,,2:04,1:02,1:02,,"11:00 PM, June 03, 2025",HARD,
0dCAevLs,correct,id_match,Tona M.,2wB7CMs9,Jamshidi E.,Uug27dzJ,Tona M.,2wB7CMs9,Jamshidi E.,Uug27dzJ,,,,,,,6,4,3,6,1,6,2:06,0:47,0:44,0:35,"03:00 AM, December 13, 2024",HARD,
0dpEU7xe,correct,id_match,Jovanovic M.,0jieYeGh,Stamatova J.,d09ktFe3,Jovanovic M.,0jieYeGh,Stamatova J.,d09ktFe3,,,,,,,0,6,4,6,,,1:19,0:26,0:53,,"03:05 AM, June 03, 2025",CLAY,
0fNN7xGc,correct,id_match,Fatima Costa Y.,QkQVYvUa,Gonzalez Daniele J. M.,4hs3jvgb,Fatima Costa Y.,QkQVYvUa,Gonzalez Daniele J. M.,4hs3jvgb,,,,,,,1,6,0,6,,,1:35,0:39,0:56,,"08:15 AM, October 30, 2024",CLAY,
0hvqnZ3e,correct,id_match,Granwehr A.,rygWty7A,Okutoyi A.,AJK0VDdD,Granwehr A.,rygWty7A,Okutoyi A.,AJK0VDdD,,,7,5,,,6,4,7,6,,,1:57,0:44,1:13,,"04:00 AM, June 13, 2025",CLAY,
0jcEhgv1,correct,id_match,Mikhaylova M.,I3b6TBsb,Dols S.,Stkbax5S,Mikhaylova M.,I3b6TBsb,Dols S.,Stkbax5S,,,,,,,6,4,3,6,6,3,2:59,0:53,1:11,0:55,"02:15 AM, October 17, 2024",Clay (indoor),
